iteration, enemy_name, game_time(s), date, my_score, enemy_score, battle_result
0, BolaDeArroz, 225, 2020-08-23T03:26:55+00:00, 14, 4, WIN
0, BolaDeArroz, 225, 2020-08-23T03:31:42+00:00, 1, 11, LOSE
0, BolaDeArroz, 225, 2020-08-23T03:36:29+00:00, 7, 8, LOSE
0, BolaDeArroz, 225, 2020-08-23T03:41:16+00:00, 9, 3, WIN
0, BolaDeArroz, 225, 2020-08-23T03:46:03+00:00, 13, 3, WIN
0, BolaDeArroz, 225, 2020-08-23T03:50:50+00:00, 6, 1, WIN
0, BolaDeArroz, 225, 2020-08-23T03:55:37+00:00, 15, 4, WIN
0, BolaDeArroz, 225, 2020-08-23T04:00:24+00:00, 6, 6, LOSE
0, BolaDeArroz, 225, 2020-08-23T04:05:12+00:00, 15, 5, WIN
0, BolaDeArroz, 225, 2020-08-23T04:09:59+00:00, 16, 4, WIN
0, BolaDeArroz, 225, 2020-08-23T04:14:46+00:00, 12, 2, WIN
0, BolaDeArroz, 225, 2020-08-23T04:19:33+00:00, 11, 4, WIN
0, BolaDeArroz, 225, 2020-08-23T04:24:20+00:00, 5, 7, LOSE
0, BolaDeArroz, 225, 2020-08-23T04:29:07+00:00, 9, 6, WIN
