iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result, my_side
25, 4, 225, 2020-09-06T00:55:12+00:00, 8, 3, WIN, r
25, 5, 225, 2020-09-06T00:59:59+00:00, 6, 6, LOSE, r
25, 7, 225, 2020-09-06T01:04:46+00:00, 11, 10, WIN, r
25, 8, 225, 2020-09-06T01:09:33+00:00, 3, 2, WIN, r
26, 4, 225, 2020-09-06T01:14:20+00:00, 9, 14, LOSE, r
26, 5, 225, 2020-09-06T01:19:07+00:00, 14, 4, WIN, r
26, 7, 225, 2020-09-06T01:23:54+00:00, 6, 4, WIN, r
26, 8, 225, 2020-09-06T01:28:41+00:00, 6, 4, WIN, r
27, 4, 225, 2020-09-06T01:33:29+00:00, 9, 5, WIN, r
27, 5, 225, 2020-09-06T01:38:15+00:00, 14, 3, WIN, r
27, 7, 225, 2020-09-06T01:43:02+00:00, 5, 5, LOSE, r
27, 8, 225, 2020-09-06T01:47:49+00:00, 9, 7, WIN, r
28, 4, 225, 2020-09-06T01:52:36+00:00, 13, 2, WIN, r
28, 5, 225, 2020-09-06T01:57:23+00:00, 16, 6, WIN, r
28, 7, 225, 2020-09-06T02:02:10+00:00, 17, 3, WIN, r
28, 8, 225, 2020-09-06T02:07:01+00:00, 11, 8, WIN, r
29, 4, 225, 2020-09-06T02:11:49+00:00, 11, 1, WIN, r
29, 5, 225, 2020-09-06T02:16:36+00:00, 12, 3, WIN, r
29, 7, 225, 2020-09-06T02:21:23+00:00, 17, 6, WIN, r
29, 8, 225, 2020-09-06T02:26:10+00:00, 7, 8, LOSE, r
30, 4, 225, 2020-09-06T02:30:57+00:00, 9, 3, WIN, r
30, 5, 225, 2020-09-06T02:35:44+00:00, 15, 5, WIN, r
30, 7, 225, 2020-09-06T02:40:31+00:00, 19, 7, WIN, r
30, 8, 225, 2020-09-06T02:45:18+00:00, 16, 10, WIN, r
31, 4, 225, 2020-09-06T02:50:06+00:00, 11, 6, WIN, r
31, 5, 225, 2020-09-06T02:54:53+00:00, 14, 4, WIN, r
31, 7, 225, 2020-09-06T02:59:40+00:00, 11, 0, WIN, r
31, 8, 225, 2020-09-06T03:04:27+00:00, 14, 6, WIN, r
